Bid made: 2020/06/01 13:12:50.555067, ETH/BTC, Price: 0.0298053, Amount: 8.38083
Bid made: 2020/06/01 13:13:05.575396, ETH/BTC, Price: 0.0298062, Amount: 8.38059
Bid made: 2020/06/01 13:13:20.592372, ETH/BTC, Price: 0.0298053, Amount: 8.38083
Bid made: 2020/06/01 13:13:35.610212, BTC/USDT, Price: 11416.6, Amount: 7.38252e-08
Bid made: 2020/06/01 13:13:50.628040, BTC/USDT, Price: 11416.6, Amount: 6.76606e-08
Bid made: 2020/06/01 13:14:05.647712, BTC/USDT, Price: 11416.6, Amount: 6.20111e-08
Bid made: 2020/06/01 13:14:20.668052, BTC/USDT, Price: 11416.6, Amount: 5.68332e-08
Bid made: 2020/06/01 13:14:35.686562, BTC/USDT, Price: 11413.8, Amount: 5.21007e-08
Bid made: 2020/06/01 13:14:50.704227, ETH/BTC, Price: 0.0298062, Amount: 8.38059
Bid made: 2020/06/01 13:15:05.721277, ETH/BTC, Price: 0.0298062, Amount: 8.38059
Bid made: 2020/06/01 13:15:20.740711, ETH/BTC, Price: 0.0298062, Amount: 8.38059
Bid made: 2020/06/01 13:15:35.758669, ETH/BTC, Price: 0.0298062, Amount: 7.68081
Bid made: 2020/06/01 13:15:50.775009, DOGE/USDT, Price: 0.00308284, Amount: 0.176788
Bid made: 2020/06/01 13:16:05.796337, DOGE/USDT, Price: 0.00308284, Amount: 0.162027
Bid made: 2020/06/01 13:16:20.817308, DOGE/USDT, Price: 0.00308284, Amount: 0.148497
Bid made: 2020/06/01 13:16:35.838835, DOGE/USDT, Price: 0.00308284, Amount: 0.136098
Bid made: 2020/06/01 13:16:50.860785, DOGE/USDT, Price: 0.00308276, Amount: 0.124737
Bid made: 2020/06/01 13:17:05.881440, DOGE/USDT, Price: 0.00309226, Amount: 0.11397
Bid made: 2020/06/01 13:17:20.901393, DOGE/USDT, Price: 0.00308892, Amount: 0.104566
Bid made: 2020/06/01 13:17:35.921916, DOGE/USDT, Price: 0.00308785, Amount: 0.0958683
Bid made: 2020/06/01 13:17:50.940128, DOGE/USDT, Price: 0.0030867, Amount: 0.0878961
Bid made: 2020/06/01 13:18:05.961597, DOGE/USDT, Price: 0.00308568, Amount: 0.0805834
Bid made: 2020/06/01 13:18:20.983597, DOGE/USDT, Price: 0.00308522, Amount: 0.0738656
Bid made: 2020/06/01 13:18:36.005327, BTC/USDT, Price: 11417.1, Amount: 1.82939e-08
Bid made: 2020/06/01 13:18:51.024350, BTC/USDT, Price: 11418.6, Amount: 1.67641e-08
Bid made: 2020/06/01 13:19:06.046000, BTC/USDT, Price: 11417.3, Amount: 1.53661e-08
Bid made: 2020/06/01 13:19:21.068163, BTC/USDT, Price: 11413.8, Amount: 1.40873e-08
Bid made: 2020/06/01 13:19:36.158151, BTC/USDT, Price: 11412.4, Amount: 1.29126e-08
Bid made: 2020/06/01 13:19:51.181265, BTC/USDT, Price: 11413.8, Amount: 1.18329e-08
Bid made: 2020/06/01 13:20:36.247848, DOGE/USDT, Price: 0.00309353, Amount: 0.0400131
Bid made: 2020/06/01 13:20:51.270780, DOGE/USDT, Price: 0.00309166, Amount: 0.0366942
Bid made: 2020/06/01 13:21:06.291944, DOGE/USDT, Price: 0.0030903, Amount: 0.033645
Bid made: 2020/06/01 13:21:21.313388, DOGE/USDT, Price: 0.00309028, Amount: 0.0308359
Bid made: 2020/06/01 13:21:36.332947, BTC/USDT, Price: 11439.1, Amount: 7.63472e-09
Bid made: 2020/06/01 13:21:51.352332, BTC/USDT, Price: 11438.4, Amount: 6.99769e-09
Bid made: 2020/06/01 13:22:06.374320, BTC/USDT, Price: 11457.7, Amount: 6.40255e-09
Bid made: 2020/06/01 13:22:21.395258, BTC/USDT, Price: 11461.2, Amount: 5.86614e-09
Bid made: 2020/06/01 13:22:37.105794, BTC/USDT, Price: 11472.5, Amount: 5.37102e-09
